project,svg_index,svg_file,png_file
data-driven-aid-allocation-model,2,data-driven-aid-allocation-model__02__diagram-02.svg,data-driven-aid-allocation-model__02__diagram-02.png
data-driven-aid-allocation-model,3,data-driven-aid-allocation-model__03__diagram-03.svg,data-driven-aid-allocation-model__03__diagram-03.png
digital-media-view-prediction,1,digital-media-view-prediction__01__calendar-rail-showing-launch-timeline-promo-pulses-weekend-peaks-and-exp.svg,digital-media-view-prediction__01__calendar-rail-showing-launch-timeline-promo-pulses-weekend-peaks-and-exp.png
edge-ai-container-trailer-detection,1,edge-ai-container-trailer-detection__01__diagram-01.svg,edge-ai-container-trailer-detection__01__diagram-01.png
edge-ai-container-trailer-detection,2,edge-ai-container-trailer-detection__02__diagram-02.svg,edge-ai-container-trailer-detection__02__diagram-02.png
edge-ai-container-trailer-detection,3,edge-ai-container-trailer-detection__03__diagram-03.svg,edge-ai-container-trailer-detection__03__diagram-03.png
edge-ai-runtime-evaluation,1,edge-ai-runtime-evaluation__01__diagram-01.svg,edge-ai-runtime-evaluation__01__diagram-01.png
edge-ai-runtime-evaluation,2,edge-ai-runtime-evaluation__02__diagram-02.svg,edge-ai-runtime-evaluation__02__diagram-02.png
edge-ai-runtime-evaluation,3,edge-ai-runtime-evaluation__03__diagram-03.svg,edge-ai-runtime-evaluation__03__diagram-03.png
engagement-triggered-followup-automation,1,engagement-triggered-followup-automation__01__diagram-01.svg,engagement-triggered-followup-automation__01__diagram-01.png
engagement-triggered-followup-automation,2,engagement-triggered-followup-automation__02__diagram-02.svg,engagement-triggered-followup-automation__02__diagram-02.png
engagement-triggered-followup-automation,3,engagement-triggered-followup-automation__03__diagram-03.svg,engagement-triggered-followup-automation__03__diagram-03.png
enterprise-yms-integration,1,enterprise-yms-integration__01__interface-constellation-around-the-yard-management-system.svg,enterprise-yms-integration__01__interface-constellation-around-the-yard-management-system.png
enterprise-yms-integration,2,enterprise-yms-integration__02__reconciliation-swimlane-for-failed-yard-events.svg,enterprise-yms-integration__02__reconciliation-swimlane-for-failed-yard-events.png
enterprise-yms-integration,3,enterprise-yms-integration__03__before-and-after-integration-metrics.svg,enterprise-yms-integration__03__before-and-after-integration-metrics.png
housing-pca-case-study,1,housing-pca-case-study__01__comparison-dial-showing-original-feature-model-on-the-left-pca-model-on.svg,housing-pca-case-study__01__comparison-dial-showing-original-feature-model-on-the-left-pca-model-on.png
housing-pca-case-study,2,housing-pca-case-study__02__decision-matrix-comparing-original-features-and-pca-across-interpretabil.svg,housing-pca-case-study__02__decision-matrix-comparing-original-features-and-pca-across-interpretabil.png
housing-price-prediction,1,housing-price-prediction__01__fig-1-valuation-board-left-feature-elasticity-strip-showing-direction-an.svg,housing-price-prediction__01__fig-1-valuation-board-left-feature-elasticity-strip-showing-direction-an.png
india-budget-2020-economic-analysis,1,india-budget-2020-economic-analysis__01__fig-1-four-macro-indicators-aligned-to-the-budget-2020-window-shaded-bar.svg,india-budget-2020-economic-analysis__01__fig-1-four-macro-indicators-aligned-to-the-budget-2020-window-shaded-bar.png
iris-pca-analysis,1,iris-pca-analysis__01__pca-axes-rotation-diagram-with-scree-plot.svg,iris-pca-analysis__01__pca-axes-rotation-diagram-with-scree-plot.png
lead-management-product-launch,1,lead-management-product-launch__01__launch-timeline-ribbon-with-scope-and-cost-inflection-points.svg,lead-management-product-launch__01__launch-timeline-ribbon-with-scope-and-cost-inflection-points.png
lead-management-product-launch,2,lead-management-product-launch__02__before-and-after-lead-management-metrics.svg,lead-management-product-launch__02__before-and-after-lead-management-metrics.png
linear-regression-cross-validation,1,linear-regression-cross-validation__01__fig-1-top-correct-5-fold-mechanism-each-pass-uses-a-fresh-non-overlappin.svg,linear-regression-cross-validation__01__fig-1-top-correct-5-fold-mechanism-each-pass-uses-a-fresh-non-overlappin.png
llm-sales-assistant,1,llm-sales-assistant__01__conversation-spine-for-the-llm-sales-assistant.svg,llm-sales-assistant__01__conversation-spine-for-the-llm-sales-assistant.png
llm-sales-assistant,2,llm-sales-assistant__02__before-and-after-metrics-for-the-sales-assistant-deployment.svg,llm-sales-assistant__02__before-and-after-metrics-for-the-sales-assistant-deployment.png
loan-default-risk-prediction,1,loan-default-risk-prediction__01__fig-1-left-panel-credit-approval-ladder-each-scoreband-maps-to-an-instit.svg,loan-default-risk-prediction__01__fig-1-left-panel-credit-approval-ladder-each-scoreband-maps-to-an-instit.png
local-business-profit-planning,1,local-business-profit-planning__01__margin-ledger-from-revenue-to-weekly-operating-profit.svg,local-business-profit-planning__01__margin-ledger-from-revenue-to-weekly-operating-profit.png
local-business-profit-planning,2,local-business-profit-planning__02__scenario-board-comparing-price-and-reorder-strategies.svg,local-business-profit-planning__02__scenario-board-comparing-price-and-reorder-strategies.png
local-business-profit-planning,3,local-business-profit-planning__03__before-and-after-metrics-for-the-pilot-group-of-15-retailers.svg,local-business-profit-planning__03__before-and-after-metrics-for-the-pilot-group-of-15-retailers.png
marketing-process-analytics-dashboard,1,marketing-process-analytics-dashboard__01__panel-stack-for-a-marketing-process-analytics-dashboard.svg,marketing-process-analytics-dashboard__01__panel-stack-for-a-marketing-process-analytics-dashboard.png
marketing-process-analytics-dashboard,2,marketing-process-analytics-dashboard__02__throughput-timeline-from-send-to-follow-up.svg,marketing-process-analytics-dashboard__02__throughput-timeline-from-send-to-follow-up.png
marketing-process-analytics-dashboard,3,marketing-process-analytics-dashboard__03__before-and-after-metrics-for-the-marketing-dashboard.svg,marketing-process-analytics-dashboard__03__before-and-after-metrics-for-the-marketing-dashboard.png
marriage-age-prediction-flask-app,1,marriage-age-prediction-flask-app__01__diagram-01.svg,marriage-age-prediction-flask-app__01__diagram-01.png
medical-evidence-qa-assistant,1,medical-evidence-qa-assistant__01__citation-loom-diagram.svg,medical-evidence-qa-assistant__01__citation-loom-diagram.png
medical-evidence-qa-assistant,2,medical-evidence-qa-assistant__02__refusal-tree-diagram.svg,medical-evidence-qa-assistant__02__refusal-tree-diagram.png
medical-evidence-qa-assistant,3,medical-evidence-qa-assistant__03__before-and-after-metrics-for-the-medical-evidence-qa-assistant.svg,medical-evidence-qa-assistant__03__before-and-after-metrics-for-the-medical-evidence-qa-assistant.png
model-free-vertical-text-ocr,1,model-free-vertical-text-ocr__01__monochrome-storyboard-of-one-vertical-label-through-deterministic-ocr-st.svg,model-free-vertical-text-ocr__01__monochrome-storyboard-of-one-vertical-label-through-deterministic-ocr-st.png
model-free-vertical-text-ocr,2,model-free-vertical-text-ocr__02__failure-strip-for-deterministic-vertical-ocr.svg,model-free-vertical-text-ocr__02__failure-strip-for-deterministic-vertical-ocr.png
model-free-vertical-text-ocr,3,model-free-vertical-text-ocr__03__before-and-after-metrics-for-the-vertical-ocr-pipeline.svg,model-free-vertical-text-ocr__03__before-and-after-metrics-for-the-vertical-ocr-pipeline.png
ngo-resource-allocation-model,1,ngo-resource-allocation-model__01__fig-1-allocation-decision-slate-countries-land-in-the-matrix-based-on-th.svg,ngo-resource-allocation-model__01__fig-1-allocation-decision-slate-countries-land-in-the-matrix-based-on-th.png
ngo-resource-allocation-model,2,ngo-resource-allocation-model__02__fig-2-score-to-recommendation-ladder-each-tier-maps-a-cluster-profile-to.svg,ngo-resource-allocation-model__02__fig-2-score-to-recommendation-ladder-each-tier-maps-a-cluster-profile-to.png
nocode-logistics-form-builder,1,nocode-logistics-form-builder__01__schema-loom-for-logistics-form-builder.svg,nocode-logistics-form-builder__01__schema-loom-for-logistics-form-builder.png
nocode-logistics-form-builder,2,nocode-logistics-form-builder__02__task-template-workflow-diagram.svg,nocode-logistics-form-builder__02__task-template-workflow-diagram.png
nocode-logistics-form-builder,3,nocode-logistics-form-builder__03__before-and-after-comparison-of-form-change-operations.svg,nocode-logistics-form-builder__03__before-and-after-comparison-of-form-change-operations.png
npa-risk-prediction,1,npa-risk-prediction__01__card-explaining-auc-ks-lift-and-operational-interpretation.svg,npa-risk-prediction__01__card-explaining-auc-ks-lift-and-operational-interpretation.png
npa-risk-prediction,2,npa-risk-prediction__02__monochrome-escalator-showing-applicants-entering-at-the-base-and-moving.svg,npa-risk-prediction__02__monochrome-escalator-showing-applicants-entering-at-the-base-and-moving.png
npa-risk-prediction,3,npa-risk-prediction__03__before-and-after-comparison-of-npa-prediction-system-performance.svg,npa-risk-prediction__03__before-and-after-comparison-of-npa-prediction-system-performance.png
offline-inspection-capture-platform,1,offline-inspection-capture-platform__01__operator-journey-through-the-on-device-inspection-path.svg,offline-inspection-capture-platform__01__operator-journey-through-the-on-device-inspection-path.png
offline-inspection-capture-platform,2,offline-inspection-capture-platform__02__sync-braid-diagram-for-one-offline-inspection.svg,offline-inspection-capture-platform__02__sync-braid-diagram-for-one-offline-inspection.png
offline-inspection-capture-platform,3,offline-inspection-capture-platform__03__before-and-after-comparison-of-inspection-operations.svg,offline-inspection-capture-platform__03__before-and-after-comparison-of-inspection-operations.png
online-retail-customer-clustering,1,online-retail-customer-clustering__01__fig-2-cluster-separation-in-2-component-pca-space-pc1-captures-the-value.svg,online-retail-customer-clustering__01__fig-2-cluster-separation-in-2-component-pca-space-pc1-captures-the-value.png
onprem-comment-intelligence-engine,1,onprem-comment-intelligence-engine__01__ingestion-lattice-with-permission-boundary.svg,onprem-comment-intelligence-engine__01__ingestion-lattice-with-permission-boundary.png
onprem-comment-intelligence-engine,2,onprem-comment-intelligence-engine__02__permission-bound-alert-routing.svg,onprem-comment-intelligence-engine__02__permission-bound-alert-routing.png
onprem-comment-intelligence-engine,3,onprem-comment-intelligence-engine__03__before-and-after-comparison-of-comment-intelligence-operations.svg,onprem-comment-intelligence-engine__03__before-and-after-comparison-of-comment-intelligence-operations.png
onprem-vision-inference-pipeline,1,onprem-vision-inference-pipeline__01__gateway-spine-for-on-prem-multimodal-extraction.svg,onprem-vision-inference-pipeline__01__gateway-spine-for-on-prem-multimodal-extraction.png
onprem-vision-inference-pipeline,2,onprem-vision-inference-pipeline__02__schema-and-error-handling-companion-figure.svg,onprem-vision-inference-pipeline__02__schema-and-error-handling-companion-figure.png
onprem-vision-inference-pipeline,3,onprem-vision-inference-pipeline__03__before-and-after-comparison-of-document-processing.svg,onprem-vision-inference-pipeline__03__before-and-after-comparison-of-document-processing.png
power-user-curve-analysis,1,power-user-curve-analysis__01__diagram-01.svg,power-user-curve-analysis__01__diagram-01.png
power-user-curve-analysis,2,power-user-curve-analysis__02__diagram-02.svg,power-user-curve-analysis__02__diagram-02.png
power-user-curve-analysis,3,power-user-curve-analysis__03__diagram-03.svg,power-user-curve-analysis__03__diagram-03.png
private-search-research-assistant,1,private-search-research-assistant__01__search-fanout-extraction-deduplication-and-cited-answer-diagram.svg,private-search-research-assistant__01__search-fanout-extraction-deduplication-and-cited-answer-diagram.png
private-search-research-assistant,2,private-search-research-assistant__02__cache-and-citation-presentation-companion-diagram.svg,private-search-research-assistant__02__cache-and-citation-presentation-companion-diagram.png
private-search-research-assistant,3,private-search-research-assistant__03__before-and-after-comparison-of-research-workflow-metrics.svg,private-search-research-assistant__03__before-and-after-comparison-of-research-workflow-metrics.png
prompt-reliability-workflow,1,prompt-reliability-workflow__01__rubric-and-regression-companion-diagram.svg,prompt-reliability-workflow__01__rubric-and-regression-companion-diagram.png
prompt-reliability-workflow,2,prompt-reliability-workflow__02__evaluation-wheel-with-historical-drift-strip.svg,prompt-reliability-workflow__02__evaluation-wheel-with-historical-drift-strip.png
prompt-reliability-workflow,3,prompt-reliability-workflow__03__before-and-after-comparison-of-prompt-reliability-metrics.svg,prompt-reliability-workflow__03__before-and-after-comparison-of-prompt-reliability-metrics.png
property-valuation-model,1,property-valuation-model__01__diagram-01.svg,property-valuation-model__01__diagram-01.png
property-valuation-model,2,property-valuation-model__02__diagram-02.svg,property-valuation-model__02__diagram-02.png
realtime-marketing-decision-engine,1,realtime-marketing-decision-engine__01__signal-conveyor-from-left-side-sources-to-role-specific-decision-surface.svg,realtime-marketing-decision-engine__01__signal-conveyor-from-left-side-sources-to-role-specific-decision-surface.png
realtime-marketing-decision-engine,2,realtime-marketing-decision-engine__02__kpi-assembly-and-role-hierarchy-companion-figure.svg,realtime-marketing-decision-engine__02__kpi-assembly-and-role-hierarchy-companion-figure.png
realtime-marketing-decision-engine,3,realtime-marketing-decision-engine__03__before-and-after-comparison-of-marketing-decision-metrics.svg,realtime-marketing-decision-engine__03__before-and-after-comparison-of-marketing-decision-metrics.png
realtime-sales-signal-dashboard,1,realtime-sales-signal-dashboard__01__monochrome-territory-pulse-map-feeding-dashboard-tiles-and-alert-bands.svg,realtime-sales-signal-dashboard__01__monochrome-territory-pulse-map-feeding-dashboard-tiles-and-alert-bands.png
realtime-sales-signal-dashboard,2,realtime-sales-signal-dashboard__02__slim-flow-from-mobile-submission-to-tableau-refresh.svg,realtime-sales-signal-dashboard__02__slim-flow-from-mobile-submission-to-tableau-refresh.png
realtime-sales-signal-dashboard,3,realtime-sales-signal-dashboard__03__before-and-after-comparison-of-field-operations-metrics.svg,realtime-sales-signal-dashboard__03__before-and-after-comparison-of-field-operations-metrics.png
realtime-voice-agent,1,realtime-voice-agent__01__latency-ribbon-for-the-voice-pipeline.svg,realtime-voice-agent__01__latency-ribbon-for-the-voice-pipeline.png
realtime-voice-agent,2,realtime-voice-agent__02__turn-taking-state-machine.svg,realtime-voice-agent__02__turn-taking-state-machine.png
realtime-voice-agent,3,realtime-voice-agent__03__before-and-after-comparison-of-voice-agent-deployment-metrics.svg,realtime-voice-agent__03__before-and-after-comparison-of-voice-agent-deployment-metrics.png
realtime-web-object-detection,1,realtime-web-object-detection__01__monochrome-frame-rail-showing-capture-handoff-inference-render-crop-log.svg,realtime-web-object-detection__01__monochrome-frame-rail-showing-capture-handoff-inference-render-crop-log.png
realtime-web-object-detection,2,realtime-web-object-detection__02__logging-and-reporting-companion-diagram-for-browser-detections-flask-int.svg,realtime-web-object-detection__02__logging-and-reporting-companion-diagram-for-browser-detections-flask-int.png
realtime-web-object-detection,3,realtime-web-object-detection__03__before-and-after-comparison-of-defect-detection-metrics.svg,realtime-web-object-detection__03__before-and-after-comparison-of-defect-detection-metrics.png
reliable-browser-video-calling,1,reliable-browser-video-calling__01__diagram-01.svg,reliable-browser-video-calling__01__diagram-01.png
reliable-browser-video-calling,2,reliable-browser-video-calling__02__diagram-02.svg,reliable-browser-video-calling__02__diagram-02.png
retrieval-tool-use-assistant,1,retrieval-tool-use-assistant__01__diagram-01.svg,retrieval-tool-use-assistant__01__diagram-01.png
retrieval-tool-use-assistant,2,retrieval-tool-use-assistant__02__diagram-02.svg,retrieval-tool-use-assistant__02__diagram-02.png
rtsp-camera-browser-streaming,1,rtsp-camera-browser-streaming__01__diagram-01.svg,rtsp-camera-browser-streaming__01__diagram-01.png
rtsp-camera-browser-streaming,2,rtsp-camera-browser-streaming__02__diagram-02.svg,rtsp-camera-browser-streaming__02__diagram-02.png
salary-estimation-flask-app,1,salary-estimation-flask-app__01__request-ladder-for-the-flask-salary-estimator.svg,salary-estimation-flask-app__01__request-ladder-for-the-flask-salary-estimator.png
salary-estimation-flask-app,2,salary-estimation-flask-app__02__browser-and-api-storyboard-for-the-salary-estimator.svg,salary-estimation-flask-app__02__browser-and-api-storyboard-for-the-salary-estimator.png
scalable-image-processing-api,1,scalable-image-processing-api__01__diagram-01.svg,scalable-image-processing-api__01__diagram-01.png
scalable-image-processing-api,2,scalable-image-processing-api__02__diagram-02.svg,scalable-image-processing-api__02__diagram-02.png
small-team-devops-delivery-pipeline,1,small-team-devops-delivery-pipeline__01__diagram-01.svg,small-team-devops-delivery-pipeline__01__diagram-01.png
small-team-devops-delivery-pipeline,2,small-team-devops-delivery-pipeline__02__diagram-02.svg,small-team-devops-delivery-pipeline__02__diagram-02.png
sponsorsync-influencer-marketplace,1,sponsorsync-influencer-marketplace__01__diagram-01.svg,sponsorsync-influencer-marketplace__01__diagram-01.png
sponsorsync-influencer-marketplace,2,sponsorsync-influencer-marketplace__02__diagram-02.svg,sponsorsync-influencer-marketplace__02__diagram-02.png
support-inbox-copilot,1,support-inbox-copilot__01__diagram-01.svg,support-inbox-copilot__01__diagram-01.png
support-inbox-copilot,2,support-inbox-copilot__02__diagram-02.svg,support-inbox-copilot__02__diagram-02.png
telecom-churn-prediction,1,telecom-churn-prediction__01__fig-1-lifecycle-trigger-map-the-horizontal-track-shows-the-customer-jour.svg,telecom-churn-prediction__01__fig-1-lifecycle-trigger-map-the-horizontal-track-shows-the-customer-jour.png
telecom-churn-prediction,2,telecom-churn-prediction__02__fig-2-intervention-cost-value-matrix-each-tier-s-threshold-channel-cost.svg,telecom-churn-prediction__02__fig-2-intervention-cost-value-matrix-each-tier-s-threshold-channel-cost.png
ttil-barcode-coldchain-tracking,1,ttil-barcode-coldchain-tracking__01__diagram-01.svg,ttil-barcode-coldchain-tracking__01__diagram-01.png
ttil-barcode-coldchain-tracking,2,ttil-barcode-coldchain-tracking__02__diagram-02.svg,ttil-barcode-coldchain-tracking__02__diagram-02.png
unified-analytics-lead-growth,1,unified-analytics-lead-growth__01__diagram-01.svg,unified-analytics-lead-growth__01__diagram-01.png
unified-analytics-lead-growth,2,unified-analytics-lead-growth__02__diagram-02.svg,unified-analytics-lead-growth__02__diagram-02.png
unified-course-management-platform,1,unified-course-management-platform__01__diagram-01.svg,unified-course-management-platform__01__diagram-01.png
unified-course-management-platform,2,unified-course-management-platform__02__diagram-02.svg,unified-course-management-platform__02__diagram-02.png
used-car-price-prediction,1,used-car-price-prediction__01__fig-1-price-influence-map-filled-black-nodes-are-the-strongest-positive.svg,used-car-price-prediction__01__fig-1-price-influence-map-filled-black-nodes-are-the-strongest-positive.png
used-car-price-prediction,2,used-car-price-prediction__02__fig-2-residual-trouble-map-each-point-is-a-vehicle-vertical-position-sho.svg,used-car-price-prediction__02__fig-2-residual-trouble-map-each-point-is-a-vehicle-vertical-position-sho.png
windows-offline-ai-app,1,windows-offline-ai-app__01__diagram-01.svg,windows-offline-ai-app__01__diagram-01.png
windows-offline-ai-app,2,windows-offline-ai-app__02__diagram-02.svg,windows-offline-ai-app__02__diagram-02.png
windows-offline-ai-app,3,windows-offline-ai-app__03__diagram-03.svg,windows-offline-ai-app__03__diagram-03.png
windows-offline-ai-app,4,windows-offline-ai-app__04__diagram-04.svg,windows-offline-ai-app__04__diagram-04.png
x-education-lead-prioritization,1,x-education-lead-prioritization__01__diagram-01.svg,x-education-lead-prioritization__01__diagram-01.png
x-education-lead-prioritization,2,x-education-lead-prioritization__02__diagram-02.svg,x-education-lead-prioritization__02__diagram-02.png
yard-management-platform,1,yard-management-platform__01__diagram-01.svg,yard-management-platform__01__diagram-01.png
yard-management-platform,2,yard-management-platform__02__diagram-02.svg,yard-management-platform__02__diagram-02.png
